Time (unixtime),CURRENT_VELOCITY,CURRENT_POSITION,REMAINING_STEPS,STACK_VOLTAGE,EXTERNAL_VOLTAGE,CURRENT_CONSUMPTION,CHECKSUM
1594905244.6072106,0,0,0,372,12029,225,0x3a
1594905244.6205006,0,0,0,381,12011,225,0x3e
1594905244.6338148,0,0,0,363,12029,225,0x3d
1594905244.6468892,0,0,0,363,12046,225,0x38
1594905244.6602244,0,0,0,363,12020,225,0x37
1594905244.673665,0,0,0,372,12020,225,0x0
1594905244.6872525,0,0,0,363,12002,225,0x3e
1594905244.7020001,0,0,0,363,12020,225,0x33
1594905244.7160494,0,0,0,354,12011,225,0x38
1594905244.7294736,0,0,0,363,12037,225,0x3b
1594905244.7430263,0,0,0,363,12011,225,0x32
1594905244.7561922,0,0,0,363,12029,225,0x32
1594905244.7694933,0,0,0,363,12011,225,0x30
1594905244.7837226,0,0,0,363,12011,225,0x38
1594905244.7970595,0,0,0,372,12020,225,0x37
1594905244.810594,0,0,0,372,12020,225,0x6
1594905244.8242006,0,0,0,363,12029,225,0x34
1594905244.83752,0,0,0,363,12029,225,0x35
1594905244.8509235,0,0,0,372,12037,225,0x31
1594905244.8642504,0,0,0,354,12002,225,0x3a
1594905244.8774254,0,0,0,363,12029,225,0x31
1594905244.8906362,0,0,0,363,12020,225,0x37
1594905244.9068503,0,0,0,372,12020,225,0x36
1594905244.9203653,0,0,0,363,12020,225,0x3f
1594905244.9335568,0,0,0,363,12020,225,0x30
1594905244.946889,0,0,0,363,12037,225,0x3
1594905244.960245,0,0,0,354,12020,225,0xf
1594905244.9737618,0,0,0,363,12020,225,0x32
1594905244.987151,0,0,0,363,12020,225,0x4
1594905245.0003388,0,0,0,363,12011,225,0x34
1594905245.0135696,0,0,0,363,12037,225,0x3e
1594905245.0269704,0,0,0,372,12046,225,0x38
1594905245.0404222,0,0,0,372,12020,225,0x34
1594905245.0536695,0,0,0,363,12020,225,0x3c
1594905245.067661,0,0,0,372,12020,225,0x6
1594905245.0813143,0,0,0,354,12011,225,0x3c
1594905245.094502,0,0,0,363,12029,225,0x5
1594905245.107941,0,0,0,363,12020,225,0xc
1594905245.1215403,0,0,0,372,12029,225,0x3f
1594905245.134947,0,0,0,363,12037,225,0xc
1594905245.1489077,0,0,0,363,12037,225,0x34
1594905245.1622262,0,0,0,363,12037,225,0x31
1594905245.1759338,0,0,0,363,12011,225,0x36
1594905245.1921277,0,0,0,372,12037,225,0x39
1594905245.2071776,0,0,0,363,12011,225,0x36
1594905245.2383695,0,0,0,363,12029,225,0x3f
1594905245.2516491,0,0,0,363,12037,225,0x3c
1594905245.264852,0,0,0,372,12020,225,0x9
1594905245.2780313,0,0,0,363,12029,225,0x33
1594905245.2916977,0,0,0,363,12029,225,0x3a
1594905245.3049505,0,0,0,363,12020,225,0x38
1594905245.3185194,0,0,0,372,12020,225,0x35
1594905245.3316522,0,0,0,363,12037,225,0x32
1594905245.345007,0,0,0,363,12011,225,0x1
1594905245.3585048,0,0,0,372,12020,225,0x31
1594905245.371871,0,0,0,363,12011,225,0xf
1594905245.3854043,0,0,0,363,12020,225,0x3b
1594905245.3993022,0,0,0,363,12020,225,0x36
1594905245.4129024,0,0,0,372,12020,225,0x3e
1594905245.426218,0,0,0,363,12029,225,0x4
1594905245.4395552,0,0,0,372,12037,225,0x39
1594905245.4535272,0,0,0,363,12029,225,0x3f
1594905245.4677699,0,0,0,363,12046,225,0x32
1594905245.4801843,0,0,0,363,12046,225,0x34
1594905245.493122,0,0,0,363,12029,225,0x0
1594905245.5063357,0,0,0,363,12020,225,0x37
1594905245.5213358,0,0,0,363,12020,225,0x3d
1594905245.5346265,0,0,0,354,12020,225,0x37
1594905245.5478294,0,0,0,363,12020,225,0x37
1594905245.5608053,0,0,0,363,12029,225,0x32
1594905245.5737092,0,0,0,363,12002,225,0x3b
1594905245.5864465,0,0,0,363,12020,225,0x3e
1594905245.5992117,0,0,0,363,12029,225,0x3f
1594905245.6122475,0,0,0,363,12020,225,0x37
1594905245.6252046,0,0,0,354,12011,225,0x31
1594905245.6391947,0,0,0,372,12020,225,0x31
1594905245.6524293,0,0,0,363,12020,225,0x3b
1594905245.6650565,0,0,0,363,12055,225,0x37
1594905245.6786346,0,0,0,363,12020,225,0x38
1594905245.691566,0,0,0,372,12020,225,0xd
1594905245.7043238,0,0,0,363,12020,225,0x3f
1594905245.7169983,0,0,0,363,12020,225,0x3d
1594905245.729911,0,0,0,363,12029,225,0xa
1594905245.7432714,0,0,0,363,12029,225,0x3f
1594905245.7562048,0,0,0,363,12020,225,0x3c
1594905245.7689054,0,0,0,363,12020,225,0x37
1594905245.782109,0,0,0,363,12020,225,0x3
1594905245.795173,0,0,0,363,12020,225,0x8
1594905245.8081295,0,0,0,363,12011,225,0x3b
1594905245.821097,0,0,0,363,12029,225,0xa
1594905245.8337743,0,0,0,363,12002,225,0x39
1594905245.8479478,0,0,0,363,12011,225,0x3d
1594905245.860592,0,0,0,363,12011,225,0x4
1594905245.873388,0,0,0,372,12046,225,0x9
1594905245.8861642,0,0,0,372,12020,225,0x31
1594905245.898905,0,0,0,363,12020,225,0x3
1594905245.9115713,0,0,0,372,12020,225,0x3f
1594905245.9246268,0,0,0,363,12020,225,0x33
1594905245.9376934,0,0,0,363,12037,225,0x35
1594905245.951579,0,0,0,363,12046,225,0x0
1594905245.9649842,0,0,0,363,12046,225,0x3a
1594905245.9778686,0,0,0,372,12029,225,0x36
1594905245.9907148,0,0,0,363,12029,225,0x35
1594905246.003765,0,0,0,372,12020,225,0x2
1594905246.0166636,0,0,0,363,12020,225,0x37
1594905246.0292923,0,0,0,363,12046,225,0x34
1594905246.042436,0,0,0,363,12020,225,0x2
1594905246.0550015,0,0,0,363,12020,225,0x31
1594905246.0678532,0,0,0,363,12020,225,0x38
1594905246.08147,0,0,0,363,12029,225,0x36
1594905246.0941856,0,0,0,363,12011,225,0x30
1594905246.1072555,0,0,0,363,12037,225,0x32
1594905246.119939,0,0,0,354,12020,225,0xb
1594905246.136378,0,0,0,363,12037,225,0xb
1594905246.1492898,0,0,0,372,12011,225,0x30
1594905246.1629298,0,0,0,363,12020,225,0x3a
1594905246.1762383,0,0,0,363,12046,225,0x3f
1594905246.1888611,0,0,0,363,12029,225,0x33
1594905246.2017047,0,0,0,363,12020,225,0x32
1594905246.2146707,0,0,0,363,12046,225,0x34
1594905246.227626,0,0,0,372,12020,225,0x0
1594905246.2402346,0,0,0,363,12029,225,0x39
1594905246.253861,0,0,0,363,12020,225,0xe
1594905246.268203,0,0,0,363,12020,225,0x8
1594905246.2820077,0,0,0,363,12029,225,0x34
1594905246.2950926,0,0,0,363,12037,225,0x30
1594905246.3079882,0,0,0,372,12029,225,0x33
1594905246.3212209,0,0,0,363,12029,225,0x35
1594905246.3341794,0,0,0,372,12046,225,0x3a
1594905246.347026,0,0,0,363,12020,225,0x1
1594905246.3600967,0,0,0,372,12020,225,0x38
1594905246.3731828,0,0,0,363,12046,225,0x31
1594905246.3877861,0,0,0,363,12011,225,0x33
1594905246.4008102,0,0,0,363,12055,225,0x38
1594905246.4139383,0,0,0,372,12020,225,0x32
1594905246.4299865,0,0,0,363,12020,225,0x38
1594905246.4445012,0,0,0,363,12037,225,0x31
1594905246.4575176,0,0,0,372,12011,225,0x34
1594905246.4706998,0,0,0,372,12029,225,0x31
1594905246.4836798,0,0,0,372,12037,225,0x3c
1594905246.496816,0,0,0,372,12020,225,0x1
1594905246.5101354,0,0,0,363,12020,225,0x32
1594905246.5236576,0,0,0,363,12029,225,0x3a
1594905246.5374758,0,0,0,372,12020,225,0x3a
1594905246.5509717,0,0,0,372,12029,225,0x34
1594905246.5641928,0,0,0,363,12037,225,0x36
1594905246.578144,0,0,0,372,12020,225,0xe
1594905246.591328,0,0,0,363,12037,225,0x7
1594905246.6053295,0,0,0,363,12037,225,0x3d
1594905246.6188378,0,0,0,363,12037,225,0x38
1594905246.632309,0,0,0,363,12020,225,0x8
1594905246.6477404,0,0,0,363,12020,225,0x37
1594905246.6659322,0,0,0,363,12011,225,0x38
1594905246.6802711,0,0,0,363,12029,225,0x37
1594905246.693555,0,0,0,363,12020,225,0xc
1594905246.7067702,0,0,0,372,12029,225,0x3f
1594905246.7201426,0,0,0,372,12002,225,0x31
1594905246.7334585,0,0,0,363,12020,225,0x3e
1594905246.7480266,0,0,0,372,12029,225,0x35
1594905246.7684693,0,0,0,363,12046,225,0x34
1594905246.7823179,0,0,0,363,12046,225,0x34
1594905246.795552,0,0,0,363,12020,225,0xc
1594905246.809523,0,0,0,363,12020,225,0x0
1594905246.830337,0,0,0,363,12002,225,0x9
1594905246.8465865,0,0,0,363,12046,225,0x31
1594905246.8599381,0,0,0,372,12029,225,0x3b
1594905246.8732011,0,0,0,372,12020,225,0x3b
1594905246.8876576,0,0,0,363,12011,225,0x32
1594905246.9009955,0,0,0,363,12020,225,0x3c
1594905246.9340534,0,0,0,372,12020,225,0x39
1594905246.9689717,0,0,0,363,12011,225,0x38
1594905246.9838247,0,0,0,372,12046,225,0x3e
1594905246.9969199,0,0,0,372,12020,225,0x3b
1594905247.010253,0,0,0,354,12046,225,0x5
1594905247.0234716,0,0,0,363,12002,225,0x31
1594905247.036425,0,0,0,363,12011,225,0x0
1594905247.0500553,0,0,0,363,12020,225,0x32
1594905247.0632908,0,0,0,363,12029,225,0x3b
1594905247.0766778,0,0,0,363,12020,225,0x3b
1594905247.0900862,0,0,0,363,12011,225,0x33
1594905247.1041882,0,0,0,372,12020,225,0x32
1594905247.1179192,0,0,0,363,12020,225,0x30
1594905247.131207,0,0,0,363,12029,225,0xb
1594905247.1444921,0,0,0,363,12020,225,0x3b
1594905247.1596303,0,0,0,372,12029,225,0x36
1594905247.17281,0,0,0,354,12029,225,0x34
1594905247.186107,0,0,0,372,12020,225,0xd
1594905247.199287,0,0,0,372,12029,225,0x1
1594905247.2124934,0,0,0,363,12002,225,0x3f
1594905247.2257695,0,0,0,372,12029,225,0x35
1594905247.2388968,0,0,0,363,12020,225,0x32
1594905247.2521381,0,0,0,363,12046,225,0x3a
1594905247.2652204,0,0,0,363,12011,225,0x33
1594905247.278385,0,0,0,363,12020,225,0x7
1594905247.295534,0,0,0,372,12011,225,0xa
1594905247.31309,0,0,0,363,12020,225,0x3c
1594905247.3263748,0,0,0,363,12029,225,0x32
1594905247.3394585,0,0,0,363,12037,225,0x37
1594905247.3528104,0,0,0,363,12020,225,0x3d
1594905247.3662925,0,0,0,363,12020,225,0x3b
1594905247.3800564,0,0,0,363,12020,225,0x38
1594905247.3936687,0,0,0,363,12029,225,0x3b
1594905247.4069104,0,0,0,372,12037,225,0x3c
1594905247.419984,0,0,0,372,12011,225,0xf
1594905247.4330409,0,0,0,372,12011,225,0x3f
1594905247.4465828,0,0,0,363,12029,225,0x3c
1594905247.4601362,0,0,0,363,12037,225,0x36
1594905247.4733272,0,0,0,363,12020,225,0x30
1594905247.4864929,0,0,0,363,12020,225,0x38
1594905247.5001762,0,0,0,363,12020,225,0x33
1594905247.5133722,0,0,0,372,12029,225,0x3e
1594905247.5265772,0,0,0,363,12037,225,0x34
1594905247.5402067,0,0,0,363,12011,225,0x34
1594905247.5534787,0,0,0,363,12020,225,0x3b
